类别,零件,数量,必要规格,备注
PCB,Keyball39 中层 PCB 套件,1,原版 Rev1 右侧轨迹球和左侧无轨迹球结构,使用上游生产文件
PCB,Keyball39 顶层 PCB 定位板套件,1,原版 Rev1 结构,
板材,中层亚克力套件,1,使用上游 DXF 的 3 mm 亚克力,
板材,底层亚克力套件,1,使用上游 DXF 的 2 mm 亚克力,可能需要为电池或开关留出空间
控制器,nice!nano v2,2,正品或完全兼容的 nRF52840 Pro Micro 尺寸控制器,两块控制器均使用插座安装
控制器插座,低矮圆孔排母,4,每条 12 针,不要直接焊接控制器
控制器针脚,Mill-Max/康斯特式针脚,48,与所选插座兼容,
电池,带保护板的 301230 锂聚合物电池,2,3.7 V 100～110 mAh,连接前确认极性
电源开关,SPST 拨动开关,2,低矮且额定电流满足电池要求,串联在电池正极线上
显示屏,SSD1306 OLED,2,128×32 I2C 地址 0x3C 四针模块,确认 VCC/GND/SCL/SDA 顺序
显示屏插座,四针排母与排针套件,2,2.54 mm 间距,
传感器,PMW3610 成品模块,1,完整焊接并完成功能测试的 3.3 V 模块且包含 PMW3610 和 LM18-LSI,必须引出 VIN/GND/SCLK/SDIO/nCS/MOTION 并由卖家提供针脚图和尺寸
轨迹球,轨迹球球体,1,直径 34 mm,表面有明显图案的球体追踪效果更好
支撑球,陶瓷球,4,直径 2 mm,安装三个并保留一个备用
轴座,Kailh MX 热插拔轴座,45,兼容 MX,数量包含备用件和 PCB 可选安装位
轴体,MX 兼容轴体,39,三脚或五脚,
键帽,MX 兼容 1U 键帽,39,统一高度最容易搭配,
二极管,1N4148W,50,带清晰阴极标记的 SOD-123 封装,按照 PCB 丝印方向安装
复位开关,轻触开关,2,与原版 PCB 封装匹配,
传感器接口,单排排针与排母或线束,1,七针 2.54 mm,使传感器可以拆卸
紧固件,M2 7 mm 铜柱,14,用于原版板材堆叠,包含一个备用
紧固件,M2 9 mm 铜柱,5,用于控制器保护或电池空间,包含一个备用
紧固件,M2 3.5～4 mm 螺丝,36,与铜柱匹配,包含两个备用
脚垫,自粘橡胶脚垫,8,低矮型,每边四个
导线,多股连接线,1,28～30 AWG 硅胶线,用于电池开关和传感器线束
